roomType,style,widthCm,lengthCm,heightCm,layoutJson
bedroom,modern,400,400,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":400,""lengthCm"":400,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":40,""widthCm"":90},""window"":{""wall"":""north"",""offsetCm"":120,""widthCm"":160},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":200,""heightCm"":50,""xCm"":120,""yCm"":40,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":200,""depthCm"":60,""heightCm"":230,""xCm"":0,""yCm"":250,""rotationDeg"":0},{""id"":""ns_01"",""type"":""nightstand"",""widthCm"":45,""depthCm"":40,""heightCm"":50,""xCm"":75,""yCm"":40,""rotationDeg"":0},{""id"":""ns_02"",""type"":""nightstand"",""widthCm"":45,""depthCm"":40,""heightCm"":50,""xCm"":280,""yCm"":40,""rotationDeg"":0}]}"
bedroom,modern,360,440,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":360,""lengthCm"":440,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":30,""widthCm"":90},""window"":{""wall"":""east"",""offsetCm"":150,""widthCm"":140},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":200,""heightCm"":50,""xCm"":100,""yCm"":50,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":180,""depthCm"":60,""heightCm"":230,""xCm"":0,""yCm"":280,""rotationDeg"":0},{""id"":""dsk_01"",""type"":""desk"",""widthCm"":120,""depthCm"":60,""heightCm"":75,""xCm"":230,""yCm"":280,""rotationDeg"":0}]}"
bedroom,scandinavian,400,400,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":400,""lengthCm"":400,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":40,""widthCm"":90},""window"":{""wall"":""north"",""offsetCm"":120,""widthCm"":180},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":200,""heightCm"":40,""xCm"":120,""yCm"":40,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":180,""depthCm"":55,""heightCm"":210,""xCm"":0,""yCm"":260,""rotationDeg"":0},{""id"":""ns_01"",""type"":""nightstand"",""widthCm"":40,""depthCm"":40,""heightCm"":45,""xCm"":75,""yCm"":40,""rotationDeg"":0}]}"
bedroom,scandinavian,360,440,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":360,""lengthCm"":440,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":30,""widthCm"":90},""window"":{""wall"":""west"",""offsetCm"":160,""widthCm"":150},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":140,""depthCm"":200,""heightCm"":40,""xCm"":110,""yCm"":50,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":160,""depthCm"":55,""heightCm"":210,""xCm"":0,""yCm"":280,""rotationDeg"":0},{""id"":""ds_01"",""type"":""dresser"",""widthCm"":110,""depthCm"":45,""heightCm"":85,""xCm"":250,""yCm"":280,""rotationDeg"":0}]}"
bedroom,loft,400,400,290,"{""room"":{""roomType"":""bedroom"",""widthCm"":400,""lengthCm"":400,""heightCm"":290},""door"":{""wall"":""south"",""offsetCm"":40,""widthCm"":90},""window"":{""wall"":""east"",""offsetCm"":120,""widthCm"":200},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":180,""depthCm"":200,""heightCm"":50,""xCm"":110,""yCm"":40,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":220,""depthCm"":60,""heightCm"":250,""xCm"":0,""yCm"":260,""rotationDeg"":0},{""id"":""ns_01"",""type"":""nightstand"",""widthCm"":50,""depthCm"":40,""heightCm"":55,""xCm"":55,""yCm"":40,""rotationDeg"":0}]}"
bedroom,loft,360,440,290,"{""room"":{""roomType"":""bedroom"",""widthCm"":360,""lengthCm"":440,""heightCm"":290},""door"":{""wall"":""south"",""offsetCm"":30,""widthCm"":90},""window"":{""wall"":""north"",""offsetCm"":100,""widthCm"":180},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":200,""heightCm"":50,""xCm"":100,""yCm"":50,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":200,""depthCm"":60,""heightCm"":250,""xCm"":0,""yCm"":280,""rotationDeg"":0},{""id"":""am_01"",""type"":""armchair"",""widthCm"":80,""depthCm"":80,""heightCm"":85,""xCm"":270,""yCm"":280,""rotationDeg"":0}]}"
bedroom,minimalism,400,400,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":400,""lengthCm"":400,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":40,""widthCm"":90},""window"":{""wall"":""north"",""offsetCm"":120,""widthCm"":160},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":200,""heightCm"":35,""xCm"":120,""yCm"":40,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":200,""depthCm"":60,""heightCm"":230,""xCm"":0,""yCm"":260,""rotationDeg"":0}]}"
bedroom,minimalism,360,440,270,"{""room"":{""roomType"":""bedroom"",""widthCm"":360,""lengthCm"":440,""heightCm"":270},""door"":{""wall"":""south"",""offsetCm"":30,""widthCm"":90},""window"":{""wall"":""west"",""offsetCm"":150,""widthCm"":140},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":140,""depthCm"":200,""heightCm"":35,""xCm"":110,""yCm"":50,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":180,""depthCm"":55,""heightCm"":230,""xCm"":0,""yCm"":280,""rotationDeg"":0}]}"
bedroom,neoclassic,400,400,290,"{""room"":{""roomType"":""bedroom"",""widthCm"":400,""lengthCm"":400,""heightCm"":290},""door"":{""wall"":""south"",""offsetCm"":40,""widthCm"":90},""window"":{""wall"":""north"",""offsetCm"":120,""widthCm"":160},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":180,""depthCm"":210,""heightCm"":55,""xCm"":110,""yCm"":40,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":220,""depthCm"":60,""heightCm"":240,""xCm"":0,""yCm"":260,""rotationDeg"":0},{""id"":""ns_01"",""type"":""nightstand"",""widthCm"":50,""depthCm"":40,""heightCm"":55,""xCm"":55,""yCm"":40,""rotationDeg"":0},{""id"":""ns_02"",""type"":""nightstand"",""widthCm"":50,""depthCm"":40,""heightCm"":55,""xCm"":300,""yCm"":40,""rotationDeg"":0}]}"
bedroom,neoclassic,360,440,290,"{""room"":{""roomType"":""bedroom"",""widthCm"":360,""lengthCm"":440,""heightCm"":290},""door"":{""wall"":""south"",""offsetCm"":30,""widthCm"":90},""window"":{""wall"":""east"",""offsetCm"":160,""widthCm"":150},""furniture"":[{""id"":""bed_01"",""type"":""bed"",""widthCm"":160,""depthCm"":210,""heightCm"":55,""xCm"":100,""yCm"":50,""rotationDeg"":0},{""id"":""ws_01"",""type"":""wardrobe"",""widthCm"":200,""depthCm"":60,""heightCm"":240,""xCm"":0,""yCm"":280,""rotationDeg"":0},{""id"":""am_01"",""type"":""armchair"",""widthCm"":80,""depthCm"":80,""heightCm"":90,""xCm"":270,""yCm"":280,""rotationDeg"":0}]}"
